time,temperature_2m,shortwave_radiation,cloudcover
2025-01-05 21:00:00+00:00,10.0,0.0,51
2025-01-05 22:00:00+00:00,9.8,0.0,58
2025-01-05 23:00:00+00:00,9.9,0.0,62
2025-01-06 00:00:00+00:00,9.9,0.0,57
2025-01-06 01:00:00+00:00,10.4,0.0,18
2025-01-06 02:00:00+00:00,10.0,0.0,1
2025-01-06 03:00:00+00:00,9.4,0.0,1
2025-01-06 04:00:00+00:00,9.1,0.0,1
2025-01-06 05:00:00+00:00,9.0,0.0,0
2025-01-06 06:00:00+00:00,9.0,2.0,0
2025-01-06 07:00:00+00:00,10.8,84.0,0
2025-01-06 08:00:00+00:00,12.2,236.0,0
2025-01-06 09:00:00+00:00,12.8,368.0,1
2025-01-06 10:00:00+00:00,13.4,446.0,6
2025-01-06 11:00:00+00:00,13.8,446.0,11
2025-01-06 12:00:00+00:00,14.1,414.0,37
2025-01-06 13:00:00+00:00,15.0,352.0,16
2025-01-06 14:00:00+00:00,14.4,228.0,7
2025-01-06 15:00:00+00:00,13.2,87.0,5
2025-01-06 16:00:00+00:00,12.4,3.0,30
2025-01-06 17:00:00+00:00,12.2,0.0,0
2025-01-06 18:00:00+00:00,11.9,0.0,96
2025-01-06 19:00:00+00:00,11.6,0.0,98
2025-01-06 20:00:00+00:00,11.4,0.0,99
2025-01-06 21:00:00+00:00,11.2,0.0,100
2025-01-06 22:00:00+00:00,10.9,0.0,99
2025-01-06 23:00:00+00:00,10.4,0.0,93
2025-01-07 00:00:00+00:00,10.1,0.0,98
2025-01-07 01:00:00+00:00,9.7,0.0,100
2025-01-07 02:00:00+00:00,9.7,0.0,96
2025-01-07 03:00:00+00:00,9.5,0.0,99
2025-01-07 04:00:00+00:00,9.4,0.0,100
2025-01-07 05:00:00+00:00,9.2,0.0,100
2025-01-07 06:00:00+00:00,9.4,2.0,100
2025-01-07 07:00:00+00:00,10.4,49.0,100
2025-01-07 08:00:00+00:00,11.6,129.0,100
2025-01-07 09:00:00+00:00,12.8,226.0,100
2025-01-07 10:00:00+00:00,13.7,319.0,100
2025-01-07 11:00:00+00:00,14.1,283.0,100
2025-01-07 12:00:00+00:00,14.6,307.0,100
